2023-09-23 14:56:11,110 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.0586433, 'header': 'COM'}
2023-09-23 14:56:11,111 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.0682547, 'header': 'COM'}
2023-09-23 14:56:11,112 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.0688348, 'header': 'COM'}
2023-09-23 14:56:11,113 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.078467, 'header': 'COM'}
2023-09-23 14:56:11,165 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.0789967, 'header': 'COM'}
2023-09-23 14:56:11,169 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.0886037, 'header': 'COM'}
2023-09-23 14:56:11,169 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.0891256, 'header': 'COM'}
2023-09-23 14:56:11,169 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.0987346, 'header': 'COM'}
2023-09-23 14:56:11,170 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.0992327, 'header': 'COM'}
2023-09-23 14:56:11,170 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1088948, 'header': 'COM'}
2023-09-23 14:56:11,170 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.1093414, 'header': 'COM'}
2023-09-23 14:56:11,171 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1190698, 'header': 'COM'}
2023-09-23 14:56:11,233 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.119568, 'header': 'COM'}
2023-09-23 14:56:11,234 - INFO - {'timestamp': 11666.1015625, 'posA': 9.597315788269043, 'posB': 5.172448635101318, 'rotA': -2.1418344974517822, 'rotB': -2.1418344974517822, 'header': 'LOC'}
2023-09-23 14:56:11,234 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.129214, 'header': 'COM'}
2023-09-23 14:56:11,236 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.129684, 'header': 'COM'}
2023-09-23 14:56:11,236 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.139394, 'header': 'COM'}
2023-09-23 14:56:11,236 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.139813, 'header': 'COM'}
2023-09-23 14:56:11,236 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1495314, 'header': 'COM'}
2023-09-23 14:56:11,237 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.1499302, 'header': 'COM'}
2023-09-23 14:56:11,237 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1599038, 'header': 'COM'}
2023-09-23 14:56:11,237 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.1600413, 'header': 'COM'}
2023-09-23 14:56:11,237 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.170241, 'header': 'COM'}
2023-09-23 14:56:11,238 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1802766, 'header': 'COM'}
2023-09-23 14:56:11,238 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.1804976, 'header': 'COM'}
2023-09-23 14:56:11,238 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.1905012, 'header': 'COM'}
2023-09-23 14:56:11,238 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.1907094, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.2006388, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2008028, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.2107666, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2109144, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2211554, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.231242, 'header': 'COM'}
2023-09-23 14:56:11,239 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2313564, 'header': 'COM'}
2023-09-23 14:56:11,283 - INFO - {'timestamp': 11666.203125, 'posA': 9.597315788269043, 'posB': 5.17244815826416, 'rotA': -2.1418333053588867, 'rotB': -2.1418333053588867, 'header': 'LOC'}
2023-09-23 14:56:11,285 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2416024, 'header': 'COM'}
2023-09-23 14:56:11,287 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2518027, 'header': 'COM'}
2023-09-23 14:56:11,287 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2619636, 'header': 'COM'}
2023-09-23 14:56:11,287 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.2721078, 'header': 'COM'}
2023-09-23 14:56:11,288 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.272178, 'header': 'COM'}
2023-09-23 14:56:11,333 - INFO - {'action': '1', 'speed': 0.0, 'timestamp': 1695470171.2822986, 'header': 'COM'}
2023-09-23 14:56:11,334 - INFO - {'action': '2', 'steerAngle': 0.0, 'timestamp': 1695470171.2825005, 'header': 'COM'}
